subject	cohort	SNP0	SNP1	SNP2	SNP3	SNP4	SNP5	SNP6	SNP7	SNP8	SNP9	SNP10	SNP11	SNP12	SNP13	SNP14	SNP15	SNP16	SNP17	SNP18	SNP19	SNP20	SNP21	SNP22	SNP23	SNP24	SNP25	SNP26	SNP27	SNP28	SNP29	SNP30	SNP31	SNP32
WTCCC01-11474A1	58C	-0.126474 -0.121422 -0.142357 0.0449446 0.0259435 0.135187 0.0746991 0.40581 -0.186016 0.0990579 -0.196975 0.0448241 -0.0193997 0.131178 -0.163383 0.154576 0.0253607 -0.0560689 -0.0751385 -0.48516 -0.0288187 -0.194541 -0.0456346 0.0929479 -0.222375 -0.368043 -0.14488 -0.00706918 0.0356588 -0.346104 -0.131828 0.0140277 0.0583939
WTCCC01-11474A2	58C	-0.215742 0.0265778 -0.0964269 0.061748 0.152136 -0.0445652 -0.375111 -0.391226 0.101145 0.181627 0.0688791 -0.116662 0.0217019 -0.0571972 -0.138044 -0.0554405 -0.0536655 0.121225 0.101841 -0.200404 -0.179765 -0.0456029 0.283527 -0.0813351 -0.143908 -0.105819 -0.23308 -0.0780767 0.0980952 -0.152811 0.0728393 -0.217691 0.0172098
WTCCC01-11474A3	58C	-0.00150499 0.0820076 -0.285343 0.158958 0.0320422 0.182322 0.0699921 0.290149 0.00885492 -0.0387201 0.11311 0.06098 0.240214 0.236354 -0.111235 0.508233 0.0272966 -0.153216 -0.113534 0.183407 -0.0960403 0.123041 -0.107684 -0.0180287 0.401502 0.240364 -0.133434 -0.00942116 -0.0514102 -0.254315 0.0708932 -0.125158 -0.10503
WTCCC01-11474A4	58C	-0.0553829 -0.169145 -0.05928 0.0264289 -0.0208353 -0.274084 0.0310302 0.205663 0.128421 -0.22195 -0.229926 0.0198905 -0.321006 0.149559 -0.534339 -0.759683 -0.194005 -0.103542 0.166165 -0.318173 -0.714955 -0.743604 -0.248391 -0.255281 -0.106774 0.203908 0.3008 -0.24017 0.16814 0.298436 0.130302 -0.0139433 0.0432413
WTCCC01-11474A5	58C	-0.129269 0.201454 -0.847487 -0.264742 -0.0502723 -0.215025 -0.225473 0.00162372 0.0806925 0.0562238 -0.0636589 -0.043316 -0.557907 0.13913 -0.778225 -0.922491 0.0343805 -0.0130905 0.153855 -0.589194 -0.477323 -0.634515 0.178848 -0.442802 -0.124996 -0.19122 -0.186394 -0.0840852 -0.258927 -0.000203031 -0.0516899 0.0381275 -0.0992932
WTCCC01-11474A6	58C	-0.0620986 0.182613 0.124516 -0.173172 -0.0870918 -0.0902743 -0.0634414 -0.803917 0.378458 -0.188056 -0.136891 -0.0779523 0.121229 0.00857489 0.179257 -0.0675581 -0.181221 -0.167674 0.326135 -0.19997 0.0908316 0.126839 0.178762 0.113807 -0.228779 -0.409863 0.0208064 0.0147217 0.218779 -0.384239 -0.0265277 -0.241043 -0.0577618
WTCCC01-11474B1	58C	0.076668 0.0754818 -0.053371 -0.0532216 0.11927 -0.000664801 0.311994 -0.148024 -0.123524 -0.0782426 -0.053604 0.0860454 -0.199713 0.227283 -0.0976596 0.0616411 -0.0229184 -0.021839 0.0278551 0.0435705 -0.0116029 -0.0276667 0.24206 -0.146616 -0.0228891 -0.263079 -0.0986899 -0.0532194 0.176477 -0.165621 -0.0132666 -0.321354 -0.0840762
WTCCC01-11474B2	58C	-0.00947451 0.0613745 0.0407452 0.0282169 0.0941249 0.120189 -0.184116 -0.0280879 -0.0493039 -0.24062 -0.00943037 0.0288622 -0.0093752 -0.00481247 0.063927 0.0402567 -0.0587439 0.0122553 -0.356449 -0.078825 -0.151001 -0.0961298 0.593353 -0.124276 0.23482 -0.219349 0.00506153 0.0093307 -0.0563579 0.0501651 -0.00822543 -0.0962062 -0.0481391
WTCCC01-11474B3	58C	-0.0247084 0.313481 -0.00265416 0.241427 0.115054 0.0471973 0.158091 -0.030549 0.179289 0.0342811 -0.258198 0.0761915 0.00758376 0.125071 0.359089 0.262352 -0.00922655 -0.145158 0.203258 0.594176 0.273055 0.367728 0.07961 0.188748 0.079834 -0.0536881 -0.052234 0.0689261 0.293344 -0.0461369 0.00913612 -0.163914 0.0437471
WTCCC01-11474B4	58C	-0.0576753 0.176241 0.0855555 0.00726113 0.172525 0.0190637 0.0540587 0.304818 -0.0650488 0.0105371 -0.114108 0.0742972 0.069603 0.0506243 0.290826 0.375551 0.208569 -0.0652149 0.0187209 0.507974 0.328694 0.63427 0.0679429 0.117285 0.361225 0.368552 -0.0189914 0.0375517 0.170184 0.188322 0.0431033 -0.422766 -0.0344707
WTCCC01-11474B5	58C	-0.0287558 0.0759036 0.017984 -0.221403 0.16221 0.0780172 -0.34192 -0.387515 0.0844646 0.143826 0.0485582 0.0141407 -0.204639 0.00792808 0.010467 -0.127693 -0.0275997 -0.074661 -0.146452 0.00758908 -0.101085 -0.0349149 0.0324346 0.283207 -0.0964624 -0.447146 -0.00497982 0.0844817 -0.0862487 -0.207242 -0.0815355 0.0844256 -0.069233
